id,name,lat,long,radius
0,Egvekinot,66.32166,-179.12198,0.026000000000000002
1,Provideniya,64.42289,-173.22641,0.038
2,Lorino,65.50331,-171.70396,0.026000000000000002
3,Lavrentiya,65.58604,-171.02082,0.05
4,Baltiysk,54.65455,19.90929,0.043000000000000003
5,Mamonovo,54.46427,19.93801,0.049
6,Yantarnyy,54.87102,19.94016,0.031
7,Donskoye,54.93842,19.96821,0.048
8,Primorsk,54.73905,20.00553,0.033
9,Otradnoye,54.94114,20.11397,0.049
10,Svetlyy,54.67501,20.13473,0.047
11,Svetlogorsk,54.93987,20.15479,0.028
12,Ladushkin,54.57025,20.17099,0.038
13,Volochayevskoye,54.70034,20.21966,0.037
14,Pionerskiy,54.95083,20.22748,0.034
15,Vzmorye,54.69606,20.23613,0.038
16,Zelenogradsk,54.95893,20.47668,0.032
17,Kaliningrad,54.70649,20.51095,0.029
18,Khrabrovo,54.89709,20.58035,0.042
19,Maloye Isakovo,54.73269,20.58413,0.032
20,Yuzhnyy,54.54837,20.59843,0.03
21,Bol'shoe Isakovo,54.71774,20.60284,0.045
22,Gur’yevsk,54.77323,20.60521,0.039
23,Bagrationovsk,54.38714,20.64372,0.045
24,Pravdinsk,54.44289,21.01785,0.05
25,Gvardeysk,54.64772,21.06513,0.035
26,Polessk,54.86205,21.10279,0.05
27,Znamensk,54.61403,21.22722,0.049
28,Zheleznodorozhnyy,54.36013,21.30597,0.036000000000000004
29,Slavsk,55.0425,21.67704,0.037
30,Chernyakhovsk,54.63345,21.81557,0.028
31,Sovetsk,55.08392,21.87851,0.031
32,Ozërsk,54.41056,22.01167,0.032
33,Neman,55.03111,22.02639,0.042
34,Gusev,54.59222,22.19972,0.036000000000000004
35,Krasnoznamensk,54.94222,22.48972,0.035
36,Nesterov,54.63056,22.57139,0.032
37,Pechory,57.81642,27.6119,0.025
38,Gdov,58.74424,27.81977,0.031
39,Izborsk,57.70757,27.86291,0.047
40,Pytalovo,57.06791,27.91384,0.046
41,Palkino,57.54089,28.01257,0.046
42,Kresty,56.77595,28.09083,0.027
43,Slantsy,59.11817,28.09137,0.036000000000000004
44,Serëdka,58.15838,28.18576,0.05
45,Ivangorod,59.37155,28.21625,0.032
46,Dedino,56.24461,28.25059,0.026000000000000002
47,Pokrovskoye,56.68972,28.25483,0.029
48,Krasnogorodsk,56.83568,28.28224,0.035
49,Ust’-Luga,59.66755,28.28713,0.047
