Cities,Lat,Lng,Names,users_id,tasks_id
Egvekinot,66.32161734695794,-179.12367090601367,Vision Alpha Contract Agency,0,0
Egvekinot,66.32290694112683,-179.12131172531525,Electronic Network Incorporated,1,1
Egvekinot,66.31945857912335,-179.1229065821668,Telecom Direct Digital Group,2,2
Egvekinot,66.3208084630361,-179.12058193986167,Application Research Co,3,3
Egvekinot,66.32085439610572,-179.12307365870896,Provider Vision Digital Organization,4,4
Egvekinot,66.3224290583355,-179.12407880223952,Advanced Electronic Inc,5,5
Egvekinot,66.31978287522415,-179.12101793032355,Electronic Inc,6,6
Egvekinot,66.31962969001476,-179.12262524125168,Solutions South Telecom International,7,7
Egvekinot,66.31940520431752,-179.12199596407078,Net Agency,8,8
Egvekinot,66.32156764863755,-179.11996872659344,Hill Corporation,9,9
Egvekinot,66.32397798433823,-179.12137249771195,Provider Net Limited,10,10
Egvekinot,66.32232630568458,-179.12334782679284,Universal Direct Innovation Limited,11,11
Egvekinot,66.32011086058942,-179.12052092167573,Galaxy Signal Systems Inc,12,12
Egvekinot,66.31980223722351,-179.12132084396825,General Technology Inc,13,13
Egvekinot,66.31991697803173,-179.1217374379254,Bell Building International,14,14
Egvekinot,66.32215674486022,-179.12191887879993,Speed Electronic Industries,15,15
Egvekinot,66.31976557057314,-179.1208055357334,Internet Digital Limited,16,16
Egvekinot,66.32160973118893,-179.12355588590532,Vision Network Limited,17,17
Egvekinot,66.32090388212364,-179.1209505078538,Research Omega Analysis International,18,18
Egvekinot,66.32007616547095,-179.1223262531128,Studio Industries,19,19
Egvekinot,66.32024367380684,-179.12005437292996,Adventure Pacific Net LLC,20,20
Egvekinot,66.32104059367435,-179.12265149468405,Omega Signal Incorporated,21,21
Egvekinot,66.3225694280477,-179.12107990917588,Max Bell Electronic Agency,22,22
Egvekinot,66.32397571026841,-179.12167223207726,Medicine Frontier Incorporated,23,23
Egvekinot,66.32054792628158,-179.12345175504612,Studio Electronic Group,24,24
Egvekinot,66.32055958843029,-179.12202539973103,Vision Incorporated,25,25
Egvekinot,66.32068174456084,-179.12281258186187,Omega Industries Corporation,26,26
Egvekinot,66.32093583783355,-179.11989446521545,Innovation Speed Limited,27,27
Egvekinot,66.322585062994,-179.12210648999616,Technology Agency,28,28
Egvekinot,66.32344570010704,-179.12206615739768,West Technology Solutions Agency,29,29
Egvekinot,66.32230931161473,-179.121343890652,Application Source Industries,30,30
Egvekinot,66.3203813206321,-179.1235040721734,Architecture Technology Hill Corporation,31,31
Egvekinot,66.32162343166839,-179.12292234028976,General Agency,32,32
Egvekinot,66.32227996946888,-179.12049084562315,Technology Power Star Limited,33,33
Egvekinot,66.32256567556968,-179.12282139458713,Data Building Inc,34,34
Egvekinot,66.32065060906481,-179.1226415685559,Technology Star Interactive LLC,35,35
